"longitude","latitude","housingMedianAge","totalRooms","totalBedrooms","population","households","medianIncome","medianHouseValue"
-123.52,41.01,17,1564,345,517,222,2.1542,83800
-124.08,41.36,29,1029,239,509,196,2.0156,62800
-124.06,41.13,22,3263,799,1384,578,2.4708,119400
-124.14,41.06,32,1020,215,421,198,3.0208,143400
-124.01,40.97,21,1513,319,943,301,3.538,102700
-123.98,40.88,41,1719,372,844,336,2.6923,84200
-123.88,40.93,28,1272,259,519,220,3.2891,106300
-124.16,41.02,23,1672,385,1060,390,2.1726,75500
-124.08,40.99,18,3297,662,1554,578,2.6847,111300
-124.16,40.95,20,1075,214,529,196,3.1406,96000
-124.08,40.94,18,1550,345,941,335,2.3147,70100
-124.05,40.94,14,1452,217,516,181,5.0329,165600
-124.1,40.95,17,1485,345,823,316,1.8993,78400
-124.07,40.81,23,2103,411,1019,387,2.9911,119700
-124.17,40.74,17,2026,338,873,313,4.0357,128900
-124.14,40.67,23,580,117,320,109,4.2054,130600
-124.19,40.73,21,5694,1056,2907,972,3.5363,90100
-124.27,40.69,36,2349,528,1194,465,2.5179,79000
-124.17,40.62,32,1595,309,706,277,2.8958,86400
-124.16,40.6,39,1322,283,642,292,2.4519,85100
-124.14,40.59,17,2985,610,1544,584,2.178,76800
-124.05,40.59,32,1878,340,937,353,3.4408,95200
-124.09,40.55,24,2978,553,1370,480,2.7644,97300
-123.73,40.48,25,2015,524,746,251,1.7153,77100
-124.11,40.57,33,1348,234,573,236,2.4896,74100
-124.13,40.55,38,544,89,240,91,3.25,94800
-124.09,40.44,38,2220,426,1041,401,2.3947,70500
-124.03,40.45,34,1006,213,443,158,2.6094,71300
-124.35,40.54,52,1820,300,806,270,3.0147,94600
-124.25,40.28,32,1430,419,434,187,1.9417,76100
-123.84,40.28,28,2809,605,1093,438,2.0962,74000
-123.82,40.12,33,2985,591,1221,486,2.087,82400
-123.75,40.11,35,2052,477,900,402,1.9625,101500
-123.78,40.05,17,2019,496,899,347,2.1864,101900
-115.51,33.12,21,1024,218,890,232,2.101,46700
-115.73,33.09,27,452,103,258,61,2.9,87500
-115.62,33.04,20,1121,244,766,230,2.2969,62000
-115.6,33.04,31,314,61,152,56,3.3472,91700
-115.59,32.96,17,841,146,473,154,3.1979,113500
-115.54,32.98,27,1513,395,1121,381,1.9464,60600
-115.54,32.99,17,1697,268,911,254,4.3523,96000
-115.55,32.98,24,2565,530,1447,473,3.2593,80800
-115.54,32.97,41,2429,454,1188,430,3.0091,70800
-115.55,32.98,33,2266,365,952,360,5.4349,143000
-115.56,32.96,21,2164,480,1164,421,3.8177,107200
-115.53,32.97,34,2231,545,1568,510,1.5217,60300
-115.39,32.76,16,1136,196,481,185,6.2558,146300
-115.4,32.86,19,1087,171,649,173,3.3182,113800
-115.37,32.82,14,1276,270,867,261,1.9375,80900
-115.37,32.82,30,1602,322,1130,335,3.5735,71100
-115.38,32.82,38,1892,394,1175,374,1.9939,65800
-115.38,32.81,35,1263,262,950,241,1.8958,67500
-115.57,32.85,17,1039,256,728,246,1.7411,63500
-115.57,32.84,29,1207,301,804,288,1.9531,61100
-115.57,32.83,31,1494,289,959,284,3.5282,67500
-115.59,32.85,20,1608,274,862,248,4.875,90800
-115.49,32.87,19,541,104,457,106,3.3583,102800
-115.69,32.79,18,1564,340,1161,343,2.1792,55200
-115.73,32.8,44,472,81,206,57,2.2083,93800
-115.64,32.75,19,377,69,198,55,1.625,112500
-115.58,32.81,5,805,143,458,143,4.475,96300
-115.55,32.82,34,1540,316,1013,274,2.5664,67500
-115.58,32.81,10,1088,203,533,201,3.6597,87500
-115.57,32.8,17,1492,426,1595,428,1.7188,69900
-115.55,32.8,23,666,142,580,160,2.1136,61000
-115.54,32.79,23,1712,403,1370,377,1.275,60400
-115.55,32.79,23,1004,221,697,201,1.6351,59600
-115.57,32.8,33,1192,213,1066,211,4.5714,68600
-115.56,32.8,25,1311,375,1193,351,2.1979,63900
-115.56,32.8,28,1672,416,1335,397,1.5987,59400
-115.56,32.8,15,1171,328,1024,298,1.3882,69400
-115.57,32.79,50,1291,277,864,274,1.6667,68100
-115.56,32.78,46,2511,490,1583,469,3.0603,70800
-115.57,32.78,25,2007,301,1135,332,5.128,99600
-115.58,32.78,5,2494,414,1416,421,5.7843,110100
-115.57,32.79,34,1152,208,621,208,3.6042,73600
-115.57,32.78,15,1413,279,803,277,4.3021,87500
-115.56,32.76,15,1278,217,653,185,4.4821,140300
-115.59,32.69,30,935,177,649,148,2.5769,94400
-115.4,32.7,19,583,113,531,134,1.6838,95800
-115.49,32.67,25,2322,573,2185,602,1.375,70100
-115.48,32.68,15,3414,666,2097,622,2.3319,91200
-115.5,32.68,18,3631,913,3565,924,1.5931,88400
-115.49,32.67,29,1523,440,1302,393,1.1311,84700
-115.51,32.68,11,2872,610,2644,581,2.625,72700
-115.52,32.67,6,2804,581,2807,594,2.0625,67700
-116.05,33.33,17,290,94,135,57,1.7292,81300
-116,33.19,16,245,57,81,33,1.2639,51300
-115.88,32.93,15,208,49,51,20,4.0208,32500
-115.99,33.4,15,1945,536,515,273,2.0109,54300
-115.94,33.38,5,186,43,41,21,2.7,58800
-115.91,33.36,15,459,95,160,73,0.922,67500
-115.9,33.34,19,1210,248,329,155,1.7857,62800
-115.95,33.28,12,99,25,37,17,1.8958,53800
-114.98,33.07,18,1183,363,374,127,3.1607,57500
-115.73,33.36,19,749,238,476,169,1.7727,50000
-114.65,32.79,21,44,33,64,27,0.8571,25000
-114.63,32.76,15,1448,378,949,300,0.8585,45000
-114.66,32.74,17,1388,386,775,320,1.2049,44000
-118.18,37.35,16,3806,794,1501,714,2.1212,108300
-118.43,37.4,19,2460,405,1225,425,4.1576,141500
-118.6,37.39,19,2682,518,1134,399,3.2132,166000
-118.45,37.25,20,1468,283,721,270,3.0817,118800
-118.42,37.35,21,3302,557,1413,520,4.375,180400
-118.39,37.36,38,1813,410,902,396,2.3261,98400
-118.3,37.17,22,3480,673,1541,636,2.75,94500
-118.31,36.94,35,2563,530,861,371,2.325,80600
-118.05,36.64,34,2090,478,896,426,2.0357,74200
-117.02,36.4,19,619,239,490,164,2.1,14999
-119.03,35.42,45,1628,352,754,334,2.5703,62400
-119.03,35.42,38,2952,598,1491,568,2.6094,67900
-119.02,35.43,39,2033,370,956,379,3.1736,70700
-119.02,35.42,40,1089,226,520,218,2.2727,67200
-119.02,35.42,36,2044,447,1021,374,1.8472,57400
-119.02,35.42,40,1912,439,1015,413,1.4598,52600
-119.03,35.42,42,1705,418,905,393,1.6286,54600
-119.04,35.42,47,1691,402,913,358,1.8403,54700
-119.05,35.42,41,1992,421,1006,419,2.8393,57000
-119.02,35.41,21,2534,554,1297,517,2.0575,67000
-119.02,35.41,41,2221,516,1106,473,1.97,51900
-119.03,35.4,35,2608,620,1566,583,2.1818,63500
-119.11,35.42,52,154,28,37,16,10.0263,2e+05
-119.09,35.43,28,254,35,118,37,4.8571,237500
-119.05,35.4,18,1894,319,846,317,3.8611,126400
-119.08,35.39,10,6435,1040,3242,1030,5.575,132200
-119.01,35.4,11,8739,2190,4781,1919,1.7109,44600
-118.99,35.4,48,1908,331,789,321,3.5714,84600
-119,35.39,42,2839,516,1203,487,3.7708,79400
-118.97,35.41,36,1896,315,937,303,3.996,85500
-118.97,35.4,34,1859,323,854,309,3.1906,76200
-118.98,35.4,34,813,171,440,170,2.8393,69800
-118.98,35.4,36,1443,273,680,259,2.9821,73100
-118.98,35.41,36,1482,266,640,274,3.875,94500
-118.96,35.4,28,4667,875,2404,841,3.2325,89000
-118.96,35.41,29,3548,729,1542,659,2.947,87100
-118.95,35.4,23,4483,894,2136,883,3.6875,101700
-118.96,35.38,34,2047,347,888,352,3.6734,92900
-118.95,35.38,35,2220,388,906,373,3.5938,95200
-118.96,35.38,41,2417,435,973,406,3.0568,85600
-118.95,35.38,30,2594,478,1419,480,3.725,83100
-118.95,35.41,21,3999,727,1889,688,3.875,99500
-118.94,35.4,14,5548,941,2815,935,4.2214,104600
-118.94,35.41,10,3216,526,1539,483,6.3639,143000
-118.91,35.4,10,3587,774,1398,763,2.569,113000
-118.88,35.34,20,1351,255,762,253,2.1111,105300
-118.93,35.37,34,2412,446,1558,421,2.6903,62800
-118.94,35.37,23,1106,252,790,230,1.8523,59700
-118.95,35.37,34,1672,359,1059,349,2.1588,61300
-118.95,35.37,37,1475,327,946,295,1.6728,55400
-118.97,35.38,42,1185,358,1038,299,0.9951,48000
-118.99,35.38,30,1390,361,1116,298,1.3451,57500
-118.98,35.38,34,1020,247,795,228,1.625,50800
-118.98,35.38,28,1171,299,1193,273,0.8639,49400
-118.99,35.39,39,2228,542,1516,435,1.6009,48800
-118.98,35.39,32,2620,682,2375,684,1.2618,46900
-119,35.37,41,303,78,216,80,2.2212,55500
-118.99,35.37,38,918,220,743,222,1.7292,58100
-118.97,35.37,52,425,119,380,97,1.4125,42500
-119.01,35.38,44,434,110,274,86,1.1944,57500
-119.02,35.38,48,346,92,129,63,1.1875,63800
-119.02,35.39,52,191,52,106,49,2.0455,72500
-119.03,35.38,38,2122,394,843,410,3,91800
-119.03,35.37,52,1503,367,554,277,1.6786,126600
-119.03,35.39,28,4513,764,1593,763,2.9821,118700
-119.04,35.36,36,1942,414,1051,411,1.8362,66900
-119.05,35.36,30,4635,800,2307,754,3.6548,84700
-119.07,35.36,19,5254,894,2155,831,4.6705,110700
-119.06,35.36,9,1228,234,409,212,4.3482,95200
-119.03,35.37,42,2508,483,1035,442,2.6513,72300
-119.03,35.36,41,1944,363,977,388,3.9097,81300
-119.04,35.36,40,1533,312,771,306,3.0435,69500
-119.02,35.37,44,2687,620,1521,549,1.7213,61600
-119.01,35.36,38,1838,388,1203,373,1.6797,60700
-119.01,35.36,36,2658,626,1490,529,1.2157,57000
-119.01,35.36,24,1941,484,1277,435,1.056,51600
-119.01,35.37,33,821,181,579,172,1.2469,46700
-119,35.36,40,850,227,764,186,0.9407,43600
-119,35.35,35,1164,277,992,284,1.4015,48700
-118.98,35.37,36,1562,398,1223,329,0.9675,47100
-118.98,35.36,15,1482,338,1059,279,1.2617,42700
-118.96,35.36,35,2285,497,1738,480,2.4848,54000
-118.97,35.36,31,1418,306,1219,312,1.5743,46700
-118.95,35.32,29,3480,608,2007,541,3.2738,78700
-118.99,35.35,27,1615,355,1380,332,1.6632,49800
-118.99,35.33,36,1590,367,1311,390,1.6786,52900
-118.99,35.35,32,1293,317,1109,286,1.1786,45600
-119.01,35.35,34,1354,325,922,304,2.1875,58000
-119.01,35.35,39,598,149,366,132,1.9125,57900
-119.02,35.35,38,1472,305,670,282,2.2407,76000
-119.03,35.34,36,3474,645,1679,616,2.7256,71900
-119.03,35.35,34,1441,294,695,275,2.6875,73700
-119.04,35.35,27,4590,897,2212,894,3.1753,85000
-119.06,35.35,20,9351,2139,4584,1953,2.575,69900
-119.05,35.33,18,12707,2685,7009,2552,2.9438,87200
-119.07,35.35,24,4119,865,1294,879,2.4123,86200
-119.1,35.35,5,4597,1071,1916,870,4.0327,131000
-119.08,35.34,18,4070,512,1580,540,10.5941,245800
-119.08,35.34,16,1535,238,768,236,5.4449,118500
-119.1,35.33,4,6640,898,3121,902,6.759,170300
-119.08,35.32,8,11609,2141,5696,2100,5.0012,106300
-119.09,35.33,9,7085,1148,3084,1052,4.997,142900
-119.01,35.33,42,1120,255,677,213,1.5429,39400
-119,35.33,35,991,221,620,207,1.9417,53800
-119.02,35.33,35,2053,412,1193,387,2.75,65800
-118.99,35.32,35,1576,405,870,282,1.6575,59500
-119.04,35.32,20,37,11,34,8,1.2,50000
-119.02,35.3,10,7397,1369,4611,1310,3.6369,81600
-119.13,35.22,5,6268,1003,3269,980,5.1457,118200
-119.01,35.24,6,80,16,66,21,3.125,65000
-118.95,34.83,18,3278,762,1338,550,2.9891,116500
-119.4,35.06,21,2213,458,1250,440,2.9187,52100
-119.45,35.07,45,973,183,500,177,2.6389,30000
-119.46,35.17,40,4164,812,1998,773,2.8323,50800
-119.12,35.41,12,5589,941,3018,917,4.4561,96900
-119.2,35.37,6,7383,1095,3415,1059,5.3119,157300
-119.12,35.38,18,1521,269,706,279,4.4196,121000
-119.11,35.38,37,2044,394,894,359,2.9453,82800
-119.12,35.37,13,4527,713,2170,671,4.8266,146200
-119.26,35.5,38,2536,409,1133,430,4.2375,78600
-119.27,35.51,28,1089,179,544,190,3.2279,95800
-119.38,35.49,34,2304,437,1506,403,2.2071,64600
-119.34,35.6,16,1584,309,1011,268,2.4961,58800
-119.36,35.55,29,510,84,236,73,2.7,125000
-119.35,35.58,13,1657,362,1186,376,1.1903,63200
-119.34,35.59,33,3240,654,1809,616,2.3934,71900
-119.33,35.6,32,2703,683,2682,675,1.4619,60500
-119.35,35.59,14,2719,502,1497,457,3.176,71800
-119.77,35.65,21,2403,483,1647,415,2.6066,80000
-119.24,35.68,21,1885,398,1539,388,2.5208,58500
-119.22,35.68,16,2874,677,3078,651,1.8843,55200
-119.24,35.67,32,3216,750,2639,709,2.0025,54700
-119.25,35.78,27,1513,342,1346,323,2.7411,59800
-119.25,35.77,35,1618,378,1449,398,1.6786,56500
-119.25,35.76,36,2332,656,2175,610,1.6045,57300
-119.25,35.75,36,1598,443,1658,417,1.517,52100
-119.25,35.79,8,3271,797,2700,688,1.7418,62200
-119.25,35.78,35,1927,386,1371,414,2.2981,69900
-119.23,35.79,31,2862,606,2467,600,2.3125,62100
-119.24,35.77,28,1737,521,1764,514,1.7813,67800
-119.23,35.74,16,2275,659,1914,614,2.033,68400
-119.23,35.77,26,2636,468,1416,485,4.1917,84000
-118.92,35.47,6,1755,280,664,254,6.2885,216400
-118.93,35.44,13,1439,237,557,227,6.1563,204200
-118.06,35.68,15,1962,403,730,321,2.25,67500
-118.44,35.75,23,3166,700,1097,493,2.6288,96000
-118.47,35.72,18,4754,1075,1366,690,2.0694,81200
-118.59,35.72,28,1491,408,98,48,1.4205,90000
-118.45,35.62,18,2304,527,782,390,1.4141,75800
-118.61,35.47,13,2267,601,756,276,2.5474,78400
-117.73,35.73,35,2916,594,1870,432,3.625,55000
-117.7,35.64,8,2683,416,1154,399,5.8625,109400
-117.67,35.63,32,3661,787,1613,706,3.0687,63500
-117.68,35.63,18,4334,641,1777,661,6.0653,105300
-117.69,35.63,5,3151,482,1335,428,5.5773,109000
-117.7,35.62,18,2657,496,1426,483,3.5931,71900
-117.68,35.6,12,1678,241,765,281,6.0532,102800
-117.7,35.6,16,2678,483,1473,487,3.858,70200
-117.66,35.62,11,5897,1138,2728,1072,4.15,85700
-117.66,35.6,14,1740,391,850,317,2.5812,91700
-117.76,35.63,12,2014,372,1027,356,3.9261,101300
-117.68,35.55,9,3811,605,1518,568,5.5551,142500
-117.81,35.65,19,1124,290,598,261,1.8984,54300
-117.87,35.73,13,2566,449,1181,414,4.1518,91800
-117.84,35.35,28,1913,486,858,371,1.9962,50800
-118,35.05,21,1739,425,945,362,3.4015,86500
-117.82,35.03,30,2555,510,1347,467,3.3693,71800
-118.01,35.12,15,1926,361,917,316,3.3889,68500
-117.98,35.13,5,4849,920,2504,847,3.5391,81900
-117.95,35.13,4,2630,502,1150,422,4.25,104400
-117.68,35.03,28,2969,648,1644,570,3.4338,54900
-117.65,35,36,1184,316,672,241,1.9107,39800
-118.15,34.86,10,4597,1009,2227,821,2.6149,83500
-118.16,35.05,44,1297,307,776,278,2.5875,68900
-118.19,35.05,14,2992,573,1631,526,3.7452,83200
-118.61,35.08,6,3660,646,1243,482,3.4911,137200
-118.61,34.99,11,4031,766,1539,564,3.8917,120800
-118.46,35.12,16,4084,812,2033,668,3.2405,85500
-118.43,35.12,8,1968,376,930,360,3.2632,99800
-118.44,35.13,34,1170,290,602,266,1.7917,80000
-118.91,35.3,28,1793,358,1233,351,2.7845,82200
-118.95,35.26,24,1341,214,667,184,4,94500
-118.82,35.2,34,2185,469,1910,455,2.1136,57300
-118.9,35.26,31,6145,1492,5666,1457,1.9066,54600
-118.91,35.24,29,2888,753,2949,699,1.7716,45500
-119.69,36.41,38,1016,202,540,187,2.2885,75000
-119.57,36.44,30,1860,337,1123,347,3.4926,94200
-119.55,36.37,26,1912,339,1002,311,3.0375,126300
-119.93,36.32,25,8363,1636,7679,1580,2.0285,106300
-119.78,36.31,14,1287,291,737,269,3.1667,126400
-119.77,36.31,14,3677,863,2191,785,2.6218,69100
-119.82,36.32,18,942,193,424,174,2.0673,87500
-119.78,36.33,16,1006,212,515,200,3.2386,112500
-119.8,36.29,7,479,84,327,103,5.1728,107500
-119.72,36.34,33,1287,214,580,210,3.2019,112500
-119.7,36.32,40,1178,244,586,187,2.6477,43500
-119.73,36.31,20,2440,433,1579,400,2.8281,60200
-119.67,36.35,10,1090,164,470,158,4.9432,118800
-119.64,36.35,23,3182,563,1525,585,3.8108,90400
-119.63,36.35,4,1684,343,920,324,4.2396,90600
-119.64,36.35,30,1765,310,746,298,2.8125,70200
-119.63,36.34,26,1463,261,699,219,3.5536,71400
-119.63,36.33,14,2928,600,1633,559,1.8385,67500
-119.63,36.32,36,1518,287,749,255,2.2333,61000
-119.66,36.34,32,1338,276,859,286,2.6397,59700
-119.65,36.34,47,1869,357,832,315,3.0846,76100
-119.64,36.34,32,2958,670,1504,627,1.8606,56700
-119.64,36.33,41,3095,766,1852,721,1.4524,51700
-119.65,36.33,52,1257,257,624,243,2.3523,59100
-119.65,36.33,47,1059,268,693,241,1.3882,53800
-119.67,36.33,19,1241,244,850,237,2.9375,81700
-119.66,36.32,24,2652,568,1532,445,2.3256,56800
-119.68,36.32,28,1325,276,873,240,2.5833,54400
-119.68,36.31,12,2739,535,1859,498,2.9936,60600
-119.64,36.32,32,2205,523,1772,479,1.3569,43100
-119.65,36.3,28,941,175,588,180,2.3466,53400
-119.64,36.31,27,1513,314,1071,284,1.5909,50100
-119.57,36.27,20,2673,452,1394,449,2.625,97400
-119.69,36.25,35,2011,349,970,300,2.395,94100
-119.63,36.18,23,207,45,171,50,2.4286,1e+05
-119.59,36.11,32,752,159,524,155,2.25,50000
-119.58,36.1,21,1382,327,1469,355,1.3967,46500
-119.56,36.1,29,424,78,284,73,1.5313,43800
-119.56,36.09,35,1648,285,792,265,3.2847,64700
-119.56,36.09,14,1267,290,1077,279,1.85,52300
-119.56,36.08,37,766,189,639,190,1.6607,42100
-119.57,36.1,16,1461,400,1201,384,1.5727,54800
-119.57,36.1,37,1676,316,707,274,2.0595,60700
-119.74,36.15,21,1548,308,1137,306,2.4688,61300
-119.9,36.2,43,187,38,106,40,1.875,137500
-119.96,35.99,25,1047,270,1505,286,2.0976,47700
-120.14,36.04,27,2533,518,1371,461,2.9708,60900
-120.12,36.01,18,1165,334,1119,308,2.2167,48500
-120.12,35.99,7,2049,482,1387,422,2.25,56200
-120,35.91,16,259,53,131,38,3.125,62500
-122.91,39.18,43,89,18,86,27,2.0208,72500
-122.9,39.17,45,1314,277,649,232,2.575,73600
-123.07,39.12,24,1098,193,353,145,3.8333,92600
-122.95,39.13,17,380,69,225,72,3.25,137500
-122.9,39.09,15,2483,544,835,380,1.9141,143200
-122.92,39.08,24,341,64,146,57,4,166300
-122.94,39.1,18,681,120,272,105,2.8906,140600
-122.99,39.02,14,1582,301,851,273,3.45,164100
-122.91,39.07,21,2202,484,1000,381,2.4423,102300
-122.91,39.06,21,1236,238,601,261,1.939,100300
-122.92,39.05,16,1548,295,605,250,3.5652,119000
-122.91,39.05,20,1128,229,621,210,3.2216,93500
-122.7,39.14,13,532,111,214,62,3.3929,108300
-122.86,39.08,24,3127,674,1015,448,2.0417,78800
-122.79,39.09,20,1798,395,685,331,1.625,66800
-122.78,39.05,15,1601,323,661,269,2.6181,108900
-122.73,39.04,23,1618,395,425,244,1.9833,111500
-122.66,39.03,27,1446,329,594,255,1.165,53300
-122.7,38.99,18,1177,224,181,105,2.3558,134700
-122.65,38.99,16,4279,951,1596,666,1.8571,75900
-122.65,38.97,32,1856,472,703,292,1.1912,60000
-122.63,38.96,17,1708,459,633,312,1.75,64000
-122.62,38.94,14,1731,400,638,282,2.3179,57500
-122.64,38.96,29,883,187,326,136,1.7273,58200
-122.63,38.94,25,661,144,192,93,1.7566,49000
-122.75,39.01,17,4162,967,889,414,3.4187,200500
-122.79,39.02,23,642,203,265,84,1.8833,96900
-122.78,38.97,11,5175,971,2144,792,3.0466,97300
-122.86,39.05,20,1592,327,647,253,2.5326,136800
-122.85,39,20,1580,318,753,252,1.8704,88500
-122.83,38.99,15,289,49,191,54,1.6833,113900
-122.83,38.98,17,1383,347,719,296,1.6164,77800
-122.84,38.98,21,939,176,556,178,1.7196,75000
-122.89,38.93,20,1214,247,504,223,2.7188,105700
-122.83,38.96,15,1318,296,567,276,1.8692,93800
-122.77,38.92,26,712,140,293,100,4.0119,119400
-122.83,38.89,11,640,134,268,90,3.4514,1e+05
-122.72,38.88,29,2781,617,890,310,1.9906,96600
-122.74,38.83,12,4515,909,1554,528,3.3531,90800
-122.59,38.92,15,1410,329,599,273,2.1953,75000
-122.65,38.92,30,70,38,20,13,4.125,112500
-122.64,38.87,16,1177,240,519,199,1.5739,73500
-122.5,38.82,12,2394,443,877,341,2.5625,109200
-122.51,38.76,9,2589,482,1050,374,4.0435,132600
-122.55,38.81,7,3639,637,1027,421,3.8831,132100
-122.64,38.71,20,531,126,231,96,2.625,89600
-122.52,38.7,26,102,17,43,13,0.536,87500
-120.38,40.98,27,777,185,318,115,1.6833,40000
-121.02,40.51,17,890,167,406,154,3.3036,78300
-120.57,40.43,15,2045,461,1121,402,2.6902,71500
-120.65,40.42,39,3240,652,1467,621,2.1875,64300
-120.66,40.41,52,2081,478,1051,419,2.2992,70200
-120.64,40.41,50,1741,424,987,383,1.5066,59300
-120.58,40.37,16,3412,667,1873,590,2.2661,61800
-120.36,40.45,19,689,143,355,127,1.7333,70000
-120.51,40.41,36,36,8,4198,7,5.5179,67500
-120.54,40.29,17,3391,623,1529,571,3.4028,91000
-118.27,34.27,27,5205,859,2363,888,6.1946,276100
-118.28,34.26,32,1079,207,486,167,4.9833,213000
-118.29,34.26,33,3177,713,1845,612,4.008,191100
-118.29,34.25,19,1988,594,1399,527,2.4727,175000
-118.27,34.25,37,2489,454,1215,431,5.0234,257600
-118.27,34.25,35,779,143,371,150,4.6635,230100
-118.27,34.25,39,699,150,358,143,4.4375,195800
-118.28,34.24,32,2542,526,1278,493,4.45,263600
-118.28,34.24,29,3390,580,1543,576,5.6184,316900
-118.3,34.25,36,1300,304,688,261,3.1523,176700
-118.33,34.24,31,6434,1188,3540,1131,4.2639,293300
-118.35,34.22,19,9259,1653,3963,1595,5.997,228700
-118.35,34.21,42,1073,220,804,226,3.75,172600
-118.31,34.28,34,3258,610,1810,633,5.1145,219900
-118.31,34.27,35,1446,274,759,291,6.0808,215600
-118.3,34.26,43,1510,310,809,277,3.599,176500
-118.31,34.26,38,2264,460,1124,388,4.2685,189600
-118.31,34.26,34,1797,363,948,363,4.1339,187300
-118.32,34.26,32,3690,791,1804,715,4.4875,222700
-118.33,34.27,29,3034,732,1776,702,3.1349,230200
-118.35,34.27,32,604,108,314,113,6.2037,205400
-118.34,34.26,37,1776,301,702,265,5.2661,314900
-118.35,34.25,34,2795,460,1267,443,6.1464,354400
-118.3,34.26,28,1643,489,1142,458,3.1607,200600
-118.38,34.27,8,3248,847,2608,731,2.8214,158300
-118.41,34.29,35,1008,204,1162,215,3.35,147600
-118.42,34.28,29,1271,272,1338,266,4.125,150000
-118.42,34.28,35,822,200,1197,203,3.2865,133300
-118.42,34.27,35,674,153,808,173,2.6667,147800
-118.43,34.28,30,1384,308,2054,301,3.0132,142600
-118.43,34.27,31,1130,276,1533,269,4.2353,156800
-118.43,34.27,36,1002,250,1312,249,3.024,148000
-118.42,34.27,37,1024,246,1371,239,3.225,147500
-118.43,34.26,30,1246,373,1990,369,3.5104,140900
-118.43,34.26,37,1269,348,1835,335,3.2583,147200
-118.44,34.27,35,777,187,1022,186,3.4,139600
-118.43,34.26,43,729,172,935,174,2.9519,140900
-118.42,34.25,37,1545,341,1909,352,3.6791,148100
-118.42,34.26,26,1788,521,2582,484,2.1062,136400
-118.42,34.26,37,1789,424,2279,411,3.9,138600
-118.4,34.26,13,4379,872,2560,853,4.2538,154300
-118.41,34.25,33,827,192,981,184,2.6429,143100
-118.43,34.33,18,5891,920,2882,911,5.901,235600
-118.42,34.3,29,3334,712,2919,718,3.6548,180300
-118.41,34.32,18,6572,1105,3473,1067,5.2987,203400
-118.42,34.32,30,3027,604,1970,590,4.3409,156000
-118.44,34.31,22,3182,822,2661,746,2.7472,160100
-118.44,34.3,38,1595,314,1181,327,3.4,155500
-118.45,34.31,9,1739,358,820,323,4.0556,182500
-118.45,34.32,23,3481,641,1952,682,4.26,189400
-118.46,34.32,10,5777,1112,2917,1056,4.1514,194100
-118.47,34.3,16,2495,551,2314,567,3.6736,192200
-118.46,34.29,24,3668,890,3151,810,3.0526,183300
-118.49,34.31,25,1024,145,357,147,7.0598,356300
-118.52,34.32,18,7498,976,3189,955,8.1248,374000
-118.51,34.28,29,4239,653,1890,631,6.3911,301700
-118.45,34.3,27,2676,652,2661,623,4.3047,152100
-118.55,34.28,16,8879,1239,3468,1200,8.1125,428600
-118.54,34.3,22,4423,622,1995,582,8.2159,376200
-118.57,34.29,4,6995,1151,2907,1089,7.0808,341200
-118.47,34.27,33,1549,264,881,289,5.1408,222900
-118.48,34.28,35,2132,368,1128,341,5.3107,227100
-118.48,34.28,35,1511,274,873,254,5.5608,226700
-118.47,34.27,17,1444,282,523,270,2.7353,192400
-118.47,34.27,35,1150,185,741,178,5.741,220600
-118.45,34.27,33,1194,229,839,230,3.705,185800
-118.46,34.27,30,1576,282,1004,284,4.8015,179700
-118.44,34.27,36,1111,275,1333,266,3.5347,158100
-118.44,34.27,29,1701,419,1616,371,3.3603,142400
-118.45,34.26,35,1724,311,992,315,4.8359,195600
-118.45,34.25,36,1453,270,808,275,4.3839,204600
-118.45,34.26,35,1637,300,894,302,4.175,209600
-118.46,34.26,36,1394,254,761,262,4.9485,217100
-118.46,34.25,33,2202,433,1135,407,4.2143,224200
-118.46,34.25,32,2217,422,1064,427,3.6989,208600
-118.48,34.26,36,1770,296,938,304,5.749,238000
-118.48,34.25,35,1865,335,1074,337,5.1068,223300
-118.49,34.25,33,2088,383,960,362,4.3333,232900
-118.49,34.27,34,4877,815,2521,781,5.5714,225900
-118.49,34.27,33,3047,527,1578,507,4.58,236200
-118.5,34.27,35,2235,390,1148,416,4.869,221600
-118.51,34.27,34,3787,771,1966,738,4.055,222500
-118.51,34.27,36,2276,429,1001,419,4.1042,252100
-118.52,34.27,36,3204,538,1499,499,5.5649,271200
-118.54,34.26,22,5303,838,2372,807,5.6912,311800
-118.54,34.27,28,2309,300,931,302,6.7415,348200
-118.55,34.26,21,4018,536,1508,529,8.203,445400
-118.55,34.27,25,4919,661,2183,625,8.1356,352800
-118.5,34.26,33,2831,510,1340,504,4.8316,237300
-118.52,34.25,11,7849,1664,3561,1500,4.6625,290900
-118.59,34.26,20,8146,1131,3562,1054,7.167,357100
-118.61,34.24,17,5406,895,2337,882,6.0137,375900
-118.63,34.24,9,4759,924,1884,915,4.8333,277200
-118.62,34.26,15,10860,1653,4178,1581,6.3249,262100
-118.61,34.25,16,8295,1506,3903,1451,5.5111,276600
-118.63,34.22,18,1376,225,670,205,6.5146,277600
-118.64,34.22,25,2762,410,1166,439,6.8643,333700
-118.66,34.23,18,897,142,263,110,6.1288,350000
-118.61,34.22,24,5256,758,2474,780,7.3252,333700
-118.58,34.25,23,4883,769,2119,725,5.521,280800
-118.57,34.23,22,3275,648,1746,585,4.9676,221900
-118.58,34.23,29,3907,773,2037,727,4.1023,230200
